,cuisine,id,ingredients
20388,korean,109,"['cayenne pepper', 'onions', 'sesame seeds', 'dark sesame oil', 'salt', 'lemon juice', 'edamame', 'cucumber']"
9245,korean,11801,"['red chili peppers', 'green onions', 'salt', 'onions', 'pork belly', 'sesame oil', 'garlic cloves', 'soy sauce', 'rice wine', 'Gochujang base', 'toasted sesame seeds', 'brown sugar', 'gochugaru', 'apples', 'carrots']"
13625,chinese,32804,"['powdered sugar', 'vanilla extract', 'plain flour', 'evaporated milk', 'caster sugar', 'hot water', 'eggs', 'butter']"
27758,chinese,17990,"['vegetable oil', 'green onions', 'all-purpose flour', 'water', 'fine sea salt', 'sesame oil']"
872,chinese,41101,"['warm water', 'gluten free all purpose flour', 'tapioca starch', 'eggs', 'xanthan gum']"
18161,chinese,20443,"['low sodium soy sauce', 'olive oil', 'boneless skinless chicken breasts', 'purple onion', 'toasted sesame oil', 'brown sugar', 'sesame seeds', 'crushed red pepper flakes', 'rice vinegar', 'grape tomatoes', 'fresh ginger', 'mandarin oranges', 'salt', 'pepper', 'black sesame seeds', 'garlic', 'mixed greens']"
13432,chinese,41681,"['large eggs', 'green peas', 'fresh lime juice', 'lower sodium soy sauce', 'green onions', 'garlic cloves', 'long grain white rice', 'white onion', 'peeled fresh ginger', 'rice vinegar', 'boneless skinless chicken breast halves', 'hoisin sauce', 'chili paste with garlic', 'corn starch', 'canola oil']"
33789,southern_us,33453,"['chiles', 'light molasses', 'garlic cloves', 'ground cumin', 'crushed tomatoes', 'chili powder', 'low salt chicken broth', 'white onion', 'coffee', 'hot water', 'olive oil', 'dark brown sugar', 'chopped cilantro fresh']"
1152,southern_us,27212,"['sugar', 'vegetable oil', 'melted butter', 'honey', 'all-purpose flour', 'yellow corn meal', 'milk', 'salt', 'eggs', 'baking powder']"
22044,southern_us,5091,"['baking soda', 'large eggs', 'double-acting baking powder', 'yellow corn meal', 'finely chopped onion', 'all-purpose flour', 'milk', 'lean bacon', 'sour cream', 'unsalted butter', 'salt']"
1790,southern_us,10155,"['milk', 'white cornmeal', 'diced onions', 'large eggs', 'sugar', 'vegetable oil', 'self rising flour']"
15039,southern_us,19557,"['milk', 'butter', 'salt', 'black pepper', 'flour', 'paprika', 'eggs', 'garlic powder', 'worcestershire sauce', 'cube steaks', 'bread crumbs', 'onion powder', 'extra-virgin olive oil']"
20402,french,33057,"['heavy cream', 'cooking oil', 'amaretto', 'large eggs', 'bittersweet chocolate']"
6684,french,11644,"['olive oil', 'salt', 'olives', 'fresh rosemary', 'cooking spray', 'carrots', 'ground black pepper', 'small red potato', 'plum tomatoes', 'rosemary sprigs', 'chopped fresh thyme', 'chicken thighs']"
36921,french,16860,"['butter', 'runny honey', 'black pepper', 'apples', 'phyllo pastry', 'sage leaves', 'sea salt', 'walnuts', 'apple cider vinegar', 'fresh chevre']"
22926,french,4140,"['pitted black olives', 'garlic cloves', 'ground black pepper', 'olive oil', 'fillets', 'capers', 'fresh thyme']"
31593,french,22123,"['french bread', 'curly endive', 'dijon mustard', 'white wine vinegar', 'pepper', 'bacon', 'frisee', 'large eggs', 'salt']"
31961,japanese,6256,"['sugar', 'balsamic vinegar', 'minced garlic', 'oil', 'soy sauce', 'red pepper flakes', 'boneless chicken breast']"
7840,japanese,26993,"['lime', 'sesame oil', 'soba noodles', 'cremini mushrooms', 'fresh ginger', 'red pepper flakes', 'garlic cloves', 'wakame', 'flat leaf spinach', 'vegetable oil', 'scallions', 'soy sauce', 'shiitake', 'vegetable broth', 'chopped cilantro']"
38126,japanese,19375,"['sweet potato starch', 'baking powder', 'water', 'coconut milk', 'sugar', 'corn starch', 'flour']"
34956,japanese,1558,"['eggs', 'mirin', 'ramen noodles', 'salt', 'nori sheets', 'chicken', 'dashi kombu', 'spring onions', 'ginger', 'oil', 'pork shoulder', 'sake', 'bonito flakes', 'chili oil', 'freshly ground pepper', 'toasted sesame oil', 'cold water', 'reduced sodium soy sauce', 'shichimi togarashi', 'garlic', 'carrots', 'pork bones']"
39139,japanese,23372,"['olive oil', 'chicken breasts', 'salt', 'raw honey', 'cilantro', 'ground black pepper', 'lemon wedge', 'garlic cloves', 'soy sauce', 'Sriracha', 'ginger']"
30719,british,34075,"['large eggs', 'all-purpose flour', 'bittersweet chocolate', 'baking soda', 'vanilla', 'pitted prunes', 'stout', 'dark brown sugar', 'unsalted butter', 'salt', 'confectioners sugar']"
32633,british,17305,"['eggs', 'drippings', 'water', 'all-purpose flour', 'milk', 'black pepper', 'salt']"
35421,british,30021,"['Angostura bitters', 'gin', 'boiling water', 'lemon slices', 'sugar']"
37797,british,21010,"['sweet sherry', 'whipping cream', 'forest fruit', 'powdered sugar', 'egg yolks', 'kiwi fruits', 'raspberry jam', 'peaches', 'vanilla extract', 'frozen pound cake', 'sugar', 'whole milk', 'strawberries']"
8586,british,41645,"['baking soda', 'whipped cream', 'water', 'baking powder', 'toffee sauce', 'unsalted butter', 'all-purpose flour', 'pitted date', 'large eggs', 'dark brown sugar']"
24481,irish,14113,"['reduced fat milk', 'butter', 'baking potatoes', 'black pepper', 'salt']"
6018,irish,33380,"['water', 'butter', 'adobo sauce', 'reduced fat sharp cheddar cheese', 'cooking spray', 'salt', 'large eggs', 'non-fat sour cream', 'chipotle chile', 'baking powder', 'all-purpose flour']"
3740,irish,12013,"['vegetable stock', 'salt', 'extra-virgin olive oil', 'carrots', 'lemon', 'yellow onion', 'olive oil', 'garlic', 'toasted sesame oil']"
20827,irish,12387,"['mozzarella cheese', 'sweet italian sausage', 'ground lamb', 'garlic', 'italian seasoning', 'parmigiano reggiano cheese', 'provolone cheese', 'tomato sauce', 'crushed red pepper', 'rigatoni']"
32085,irish,16104,"['mashed potatoes', 'potatoes', 'all-purpose flour', 'cheddar cheese', 'butter', 'milk', 'salt', 'eggs', 'baking powder', 'scallions']"
33348,cajun_creole,44865,"['crab meat', 'garlic powder', 'relish', 'creole seasoning', 'greens', 'capers', 'Ritz Crackers', 'hot sauce', 'fresh parsley', 'eggs', 'finely chopped onion', 'red pepper', 'lemon juice', 'creole mustard', 'mayonaise', 'Tabasco Pepper Sauce', 'sauce', 'olives']"
9296,cajun_creole,42807,"['dried thyme', 'carrots', 'onions', 'water', 'bay leaves', 'celery', 'clove', 'ground black pepper', 'shrimp', 'dried basil', 'garlic', 'fresh parsley']"
39549,cajun_creole,2359,"['frozen whole kernel corn', 'diced tomatoes with garlic and onion', 'cajun seasoning', 'garlic cloves', 'boneless skinless chicken breasts', 'okra', 'lima beans']"
31600,cajun_creole,10529,"['fresh tomatoes', 'butter', 'green pepper', 'onions', 'chicken broth', 'hot pepper sauce', 'salt', 'garlic cloves', 'celery ribs', 'pepper', 'worcestershire sauce', 'long-grain rice', 'Johnsonville Smoked Sausage', 'green onions', 'sauce', 'fresh parsley']"
12971,cajun_creole,43781,"['dinner rolls', 'sausages', 'green leaf lettuce', 'cajun seasoning', 'remoulade', 'ground beef']"
23947,vietnamese,39798,"['dark soy sauce', 'ground black pepper', 'pork shoulder', 'lemongrass', 'garlic', 'fish sauce', 'shallots', 'honey', 'oil']"
25917,vietnamese,25153,"['fish sauce', 'garlic cloves', 'honey', 'pepper', 'red jalapeno peppers', 'tomato paste', 'apple cider vinegar']"
14326,vietnamese,41271,"['butter lettuce', 'grated carrot', 'rice flour', 'cilantro', 'salt', 'pork shoulder', 'unsweetened coconut milk', 'deveined shrimp', 'oil', 'sliced green onions', 'water', 'powdered turmeric', 'beansprouts']"
15883,vietnamese,44540,"['fish sauce', 'shallots', 'coconut', 'garlic cloves', 'pork belly', 'cracked black pepper', 'hard-boiled egg']"
32554,vietnamese,49181,"['water', 'mung bean sprouts', 'fresh basil', 'flank steak', 'wide rice noodles', 'reduced sodium soy sauce', 'canola oil', 'reduced sodium chicken broth', 'bok choy']"
5241,thai,10975,"['wide rice noodles', 'water', 'broccoli', 'rib eye steaks', 'soy sauce', 'crushed garlic', 'white sugar', 'fish sauce', 'vegetable oil', 'corn starch', 'eggs', 'salt and ground black pepper', 'oyster sauce']"
31055,thai,36994,"['sugar', 'salt', 'green cabbage', 'salted roast peanuts', 'chopped cilantro fresh', 'chili flakes', 'purple onion', 'asian fish sauce', 'lime juice', 'fresh mint']"
38451,thai,15070,"['bread', 'lime juice', 'thai chile', 'water', 'Sriracha', 'white beans', 'soy sauce', 'olive oil', 'garlic', 'curry powder', 'sesame oil', 'crackers']"
18793,thai,4552,"['light soy sauce', 'garlic', 'dark soy sauce', 'chicken breasts', 'oyster sauce', 'eggs', 'basil leaves', 'oil', 'sugar', 'thai chile']"
26999,thai,34347,"['frozen shelled edamame', 'kale', 'sesame oil', 'cashew nuts', 'water', 'honey', 'garlic', 'canola oil', 'lemongrass', 'bell pepper', 'cilantro leaves', 'low sodium soy sauce', 'white distilled vinegar', 'green onions', 'carrots']"
27061,brazilian,13668,"['lime', 'flank steak', 'garlic cloves', 'fresh ginger', 'pineapple', 'red bell pepper', 'honey', 'baby spinach', 'garlic chili sauce', 'orange', 'reduced sodium soy sauce', 'seasoned rice wine vinegar', 'canola oil']"
1137,brazilian,6231,"['raspberries', 'granola', 'mango', 'milk', 'juice', 'coconut', 'frozen mixed berries', 'bananas', 'ice']"
4938,brazilian,22051,"['large egg whites', 'extra-virgin olive oil', 'potato starch', 'grated parmesan cheese', 'kosher salt', 'tapioca starch', 'large eggs', '1% low-fat milk']"
7934,brazilian,42276,"['pepper', 'jalapeno chilies', 'sweet paprika', 'fresh lime juice', 'halibut fillets', 'stewed tomatoes', 'shrimp', 'fresh cilantro', 'fish stock', 'garlic cloves', 'onions', 'green bell pepper', 'olive oil', 'salt', 'red bell pepper']"
6769,brazilian,37534,"['olive oil', 'cilantro leaves', 'kosher salt', 'flank steak', 'serrano chile', 'ground black pepper', 'garlic cloves', 'lime juice', 'purple onion', 'ground cumin']"
39744,greek,5680,"['extra-virgin olive oil', 'oregano', 'potatoes', 'garlic cloves', 'pepper', 'salt', 'yellow mustard', 'fresh lemon juice']"
39468,greek,25047,"['lemon', 'greek yogurt', 'fresh dill', 'salt', 'garlic', 'olive oil', 'cucumber']"
15636,greek,36088,"['russet potatoes', 'flat leaf parsley', 'olive oil', 'garlic cloves', 'chicken stock', 'fresh oregano', 'shallots', 'fresh lemon juice']"
1060,greek,32566,"['garlic powder', 'salt', 'ground cumin', 'water', 'yellow mustard', 'onions', 'tomato sauce', 'ground black pepper', 'ground beef', 'dried basil', 'crushed red pepper flakes', 'dried oregano']"
34740,greek,38694,"['eggs', 'green onions', 'olive oil cooking spray', 'spinach', 'large garlic cloves', 'phyllo pastry', 'olive oil', 'nonfat milk', 'dried oregano', 'feta cheese', 'corn starch']"
21162,spanish,5642,"['tomato juice', 'fresh orange juice', 'green olives', 'worcestershire sauce', 'fresh lime juice', 'ground black pepper', 'hot sauce', 'brown sugar', 'sea salt', 'brine']"
38210,spanish,2109,"['green onions', 'cilantro leaves', 'red bell pepper', 'olive oil', 'red wine vinegar', 'fresh lemon juice', 'large shrimp', 'green bell pepper', 'lemon wedge', 'garlic cloves', 'plum tomatoes', 'tomato juice', 'jalape', 'cucumber']"
36195,spanish,35265,"['tomatoes', 'balsamic vinegar', 'salt', 'ground black pepper', 'purple onion', 'chopped cilantro fresh', 'low sodium tomato juice', 'whole grain bread', 'chipotle chile powder', 'orange bell pepper', 'extra-virgin olive oil', 'cucumber']"
21397,spanish,44168,"['wheat bread', 'green bell pepper', 'oil-cured black olives', 'vegetable broth', 'tomatoes', 'sweet onion', 'cauliflower florets', 'garlic cloves', 'green cabbage', 'fresh leav spinach', 'chopped fresh thyme', 'sweet paprika', 'fresh rosemary', 'radishes', 'extra-virgin olive oil', 'fresh parsley']"
15166,spanish,39812,"['pepper', 'shrimp', 'lemon wedge', 'fresh parsley', 'tomato sauce', 'garlic', 'rice pilaf', 'olive oil', 'smoked paprika']"
2524,italian,22959,"['vodka', 'rosemary sprigs', 'stolichnaya', 'lemon', 'sugar']"
31273,italian,26726,"['milk', 'fresh basil leaves', 'tomatoes', 'grated parmesan cheese', 'water', 'butter', 'salt and ground black pepper', 'polenta']"
25116,italian,9173,"['coffee', 'mascarpone', 'ricotta cheese', 'powdered sugar', 'cannoli shells', 'semisweet chocolate', 'apricot preserves']"
9158,italian,48494,"['ground black pepper', 'arugula', 'kosher salt', 'garlic cloves', 'cherry tomatoes', 'spaghetti', 'extra-virgin olive oil']"
18770,italian,34777,"['grated parmesan cheese', 'anchovy paste', 'spaghetti', 'canned low sodium chicken broth', 'red pepper flakes', 'salt', 'butter', 'garlic', 'olive oil', 'bacon', 'escarole']"
27417,moroccan,48597,"['chicken stock', 'water', 'diced tomatoes', 'chickpeas', 'ground cumin', 'slivered almonds', 'dried apricot', 'garlic', 'fillets', 'ground ginger', 'peaches', 'cornflour', 'ground coriander', 'fresh coriander', 'cinnamon', 'cayenne pepper', 'onions']"
24426,moroccan,24670,"['green lentil', 'ginger', 'cumin', 'tumeric', 'vegetable stock', 'garlic cloves', 'shallots', 'chickpeas', 'olive oil', 'diced tomatoes', 'onions']"
7727,moroccan,49465,"['lamb seasoning', 'spices', 'lamb shoulder', 'prunes', 'water', 'ginger', 'onions', 'pepper', 'sea salt', 'carrots', 'fresh rosemary', 'dried apricot', 'garlic']"
23835,moroccan,11974,"['ground ginger', 'honey', 'vegetable oil', 'grated nutmeg', 'black pepper', 'dried apricot', 'lamb shoulder chops', 'onions', 'saffron threads', 'water', 'sweet potatoes', 'salt', 'prunes', 'yellow squash', 'cinnamon', 'carrots']"
2096,moroccan,48112,"['tumeric', 'parsley', 'long-grain rice', 'tomatoes', 'spanish onion', 'lemon', 'ground ginger', 'fresh coriander', 'butter', 'puy lentils', 'ground cinnamon', 'diced lamb', 'chickpeas']"
5202,russian,30329,"['beef shoulder', 'beef consomme', 'pickled beets', 'onions', 'fresh dill', 'veal', 'heavy cream', 'sliced mushrooms', 'pullman loaf', 'mint leaves', 'salt', 'eggs', 'ground black pepper', 'wonton wrappers', 'dill']"
8154,russian,26028,"['sugar', 'oil', 'raisins', 'baking powder', 'eggs', 'all-purpose flour']"
24122,russian,16518,"['cottage cheese', 'baking potatoes', 'unsalted butter', 'plain whole-milk yogurt', 'large eggs', 'black pepper', 'salt']"
28088,russian,37980,"['sugar', 'salt', 'pumpkin', 'water', 'rice', 'butter']"
9253,russian,1880,"['vodka', 'pitted prunes', 'caraway seeds', 'half & half', 'sugar', 'vanilla', 'large egg yolks']"
