,cuisine,id,ingredients,Vegeterian (Y/N),Vegan (Y/N),Dessert (Y/N),Spicy (Y/N),Drink (Y/N),Alcohol (Y/N)
19006,japanese,17695,"['gari', 'vegetable oil', 'scallions', 'sugar', 'water', 'seasoned rice wine vinegar', 'shiso', 'sushi rice', 'seeds', 'california avocado', 'toasted nori', 'wasabi paste', 'seedless cucumber', 'salt', 'carrots']",1,0,0,1,0,0
35020,japanese,19139,"['sugar', 'fresh cilantro', 'udon', 'salt', 'soy sauce', 'sesame seeds', 'vegetable oil', 'toasted sesame oil', 'baby bok choy', 'fresh ginger', 'green onions', 'carrots', 'chicken broth', 'black cod fillets', 'ground black pepper', 'dry sherry', 'five-spice powder']",0,0,0,0,0,0
2749,japanese,5399,"['milk', 'saffron', 'sugar', 'ghee', 'rose water', 'nuts', 'bread', 'cardamom']",1,0,1,0,0,0
19004,japanese,39057,"['water', 'coriander powder', 'salt', 'onions', 'eggplant', 'chili powder', 'cumin seed', 'ground turmeric', 'tomatoes', 'garam masala', 'garlic', 'oil', 'ground cumin', 'fresh ginger', 'potatoes', 'cilantro leaves', 'frozen peas']",1,1,0,1,0,0
39627,japanese,18539,"['vegetable oil', 'cayenne pepper', 'eggs', 'cilantro', 'shrimp', 'paprika', 'garlic cloves', 'onion powder', 'salt', 'panko breadcrumbs']",0,0,0,0,0,0
39482,cajun_creole,33032,"['melted butter', 'granulated sugar', 'buttermilk', 'salt', 'sliced almonds', 'baking powder', 'vanilla extract', 'sour cream', 'coconut flakes', 'large eggs', 'heavy cream', 'confectioners sugar', 'pure vanilla extract', 'baking soda', 'butter', 'cake flour']",1,0,1,0,0,0
5773,cajun_creole,33993,"['mayonaise', 'crabmeat', 'dressing', 'pimentos', 'scallions', 'avocado', 'sweet pickle', 'freshly ground pepper', 'capers', 'coarse salt', 'lemon juice']",0,0,0,0,0,0
22964,cajun_creole,19567,"['red kidney beans', 'water', 'salt', 'black pepper', 'lean ground beef', 'long grain white rice', 'green bell pepper', 'chili powder', 'onions', 'minced garlic', 'diced tomatoes']",0,0,0,0,0,0
2681,cajun_creole,8367,"['dried thyme', 'garlic cloves', 'cooked rice', 'cilantro', 'onions', 'red kidney beans', 'butter', 'smoked paprika', 'green bell pepper', 'cayenne pepper', 'cumin']",1,0,0,0,0,0
30868,cajun_creole,8329,"['celery ribs', 'ground red pepper', 'beef broth', 'onions', 'water', 'worcestershire sauce', 'garlic cloves', 'green bell pepper', 'lean ground beef', 'rice', 'ground black pepper', 'salt', 'fresh parsley']",0,0,0,0,0,0
12099,italian,47082,"['romano cheese', 'crushed red pepper', 'pasta', 'olive oil', 'fresh herbs', 'pancetta', 'pepper', 'salt', 'tomatoes', 'cheese', 'onions']",0,0,0,0,0,0
31583,italian,34577,"['crushed tomatoes', 'currant', 'leg of lamb', 'saffron', 'canned low sodium chicken broth', 'olive oil', 'salt', 'fresh parsley', 'cauliflower', 'dried thyme', 'garlic', 'couscous', 'pinenuts', 'ground black pepper', 'lemon juice', 'onions']",0,0,0,0,0,0
31512,italian,23434,"['olive oil', 'garlic', 'fresh parsley', 'capers', 'shallots', 'roast red peppers, drain', 'eggplant', 'goat cheese', 'orange', 'kalamata', 'olive oil cooking spray']",1,0,0,0,0,0
39216,italian,7208,"['butter', 'rigatoni', 'grated parmesan cheese', 'all-purpose flour', 'bread crumb fresh', 'whipping cream', 'whole milk', 'gorgonzola']",1,0,0,0,0,0
30012,italian,17939,"['tomato paste', 'pepper', 'red pepper flakes', 'garlic', 'celery', 'italian seasoning', 'pancetta', 'fish sauce', 'grated parmesan cheese', 'heavy cream', 'beef broth', 'onions', 'tomatoes', 'parmesan cheese', 'red wine', 'salt', 'fresh parsley', 'pasta', 'dried porcini mushrooms', 'balsamic vinegar', 'basil', 'carrots', 'short rib']",0,0,0,1,0,0
13402,indian,24125,"['fresh red chili', 'lime', 'flour', 'lime wedges', 'chutney', 'tumeric', 'fresh ginger', 'yoghurt', 'sea salt', 'bicarbonate of soda', 'olive oil', 'sweet potatoes', 'baking potatoes', 'coriander', 'chickpea flour', 'red chili peppers', 'ground black pepper', 'spring onions', 'mustard seeds']",1,0,0,1,0,0
33223,indian,43847,"['tomatoes', 'chili powder', 'green cardamom', 'garam masala', 'paneer', 'onions', 'cream', 'butter', 'oil', 'coriander powder', 'salt', 'methi']",1,0,0,1,0,0
37230,indian,42764,"['sugar', 'baking powder', 'oil', 'baking soda', 'salt', 'cumin', 'milk', 'butter', 'coriander', 'yoghurt', 'all-purpose flour']",1,0,0,0,0,0
21137,indian,31315,"['corn flakes', 'cilantro leaves', 'puffed rice', 'unsalted cashews', 'cayenne pepper', 'fresh lime', 'mango chutney', 'onions', 'potatoes', 'tomato ketchup']",1,1,0,1,0,0
16386,indian,28185,"['whitefish fillets', 'rice', 'vegetable stock', 'curry paste', 'vegetable oil', 'garlic cloves', 'canned tomatoes', 'onions']",0,0,0,0,0,0
34221,vietnamese,13071,"['coconut oil', 'grated cauliflower', 'coarse sea salt', 'sausages', 'onions', 'chili flakes', 'honey', 'spring onions', 'cracked black pepper', 'shrimp', 'water', 'large eggs', 'cilantro', 'carrots', 'fish sauce', 'asparagus', 'apple cider vinegar', 'garlic cloves', 'fresh lime juice']",0,0,0,1,0,0
34571,vietnamese,4822,"['lettuce', 'hoisin sauce', 'shrimp', 'rice paper', 'peanuts', 'rice vermicelli', 'beansprouts', 'nuoc nam', 'cilantro leaves', 'fresh mint', 'fish sauce', 'cooked chicken', 'cucumber']",0,0,0,0,0,0
12052,vietnamese,19662,"['fish sauce', 'sweet potatoes', 'baton', 'soda water', 'eggs', 'ground black pepper', 'mint sprigs', 'scallions', 'canola oil', 'leaves', 'ice water', 'cayenne pepper', 'ground turmeric', 'kosher salt', 'lettuce leaves', 'all-purpose flour', 'medium shrimp']",0,0,0,1,0,0
10110,vietnamese,23596,"['quinoa', 'scallions', 'cooked shrimp', 'sugar', 'crushed red pepper flakes', 'cucumber', 'asian fish sauce', 'vegetable oil', 'carrots', 'chopped cilantro fresh', 'lime juice', 'salt', 'red bell pepper']",0,0,0,1,0,0
27128,vietnamese,2527,"['sugar', 'ground cinnamon', 'meat']",0,0,0,0,0,0
30483,jamaican,35137,"['granulated sugar', 'water', 'sorrel', 'gingerroot', 'pimentos']",1,1,0,1,1,0
4538,jamaican,14765,"['pepper', 'sea bass fillets', 'orange juice', 'green onions', 'garlic', 'grated orange', 'jalapeno chilies', 'navel oranges', 'allspice berries', 'vegetable oil', 'salt']",0,0,0,1,0,0
22738,jamaican,25712,"['sugar', 'lime', 'ground nutmeg', 'chicken breasts', 'orange juice', 'white vinegar', 'white onion', 'olive oil', 'ground sage', 'cayenne pepper', 'soy sauce', 'dried thyme', 'ground black pepper', 'salt', 'ground cinnamon', 'pepper', 'garlic powder', 'green onions', 'ground allspice']",0,0,0,1,0,0
30392,jamaican,22817,"['orange', 'cheese', 'lettuce', 'pork tenderloin', 'sour cream', 'jamaican jerk season', 'beef broth', 'tomatoes', 'guacamole', 'corn tortillas']",0,0,0,1,0,0
6159,jamaican,45600,"['ground cinnamon', 'fresh thyme', 'scotch bonnet chile', 'whole allspice', 'shallots', 'dark brown sugar', 'black peppercorns', 'dark rum', 'garlic', 'ground nutmeg', 'lime wedges', 'boneless skinless chicken breast halves']",0,0,0,1,0,1
2263,british,32753,"['plain flour', 'orange', 'large eggs', 'cold milk', 'powdered sugar', 'unsalted butter', 'ground almonds', 'golden caster sugar', 'sliced almonds', 'large free range egg', 'raspberry jam', 'frozen raspberries', 'orange flower water']",1,0,1,0,0,0
11670,british,21350,"['dry sherry', 'raspberries', 'fresh lemon juice', 'dry white wine', 'grated lemon peel', 'sugar', 'whipping cream']",1,0,1,0,1,1
5493,british,9378,"['sea salt', 'large free range egg', 'milk', 'spelt flour', 'vegetable oil']",1,0,0,0,0,0
7369,british,7633,"['shaved chocolate', 'unsalted butter', 'dulce de leche', 'instant espresso powder', 'heavy cream', 'powdered sugar', 'peanuts', 'granulated sugar', 'graham crackers', 'bananas', 'vanilla extract']",1,0,1,0,0,0
25303,british,42151,"['milk', 'salt', 'self rising flour', 'mustard powder', 'unsalted butter', 'cayenne pepper', 'blue cheese', 'stilton cheese']",1,0,0,1,0,0
13017,mexican,45008,"['olive oil', 'green tomatoes', 'salt', 'ground cumin', 'yellow corn meal', 'cooking spray', 'cilantro sprigs', 'chopped cilantro fresh', 'water', 'green onions', '1% low-fat milk', 'shredded Monterey Jack cheese', 'jalapeno chilies', 'queso fresco', 'garlic cloves']",1,0,0,1,0,0
21978,mexican,21966,"['kosher salt', 'serrano chile', 'extra-virgin olive oil', 'jumbo shrimp', 'english cucumber', 'lime juice']",0,0,0,0,0,0
8894,mexican,7160,"['sugar', 'cinnamon', 'honey', 'salt', 'crushed cornflakes', 'butter', 'vanilla ice cream', 'cool whip']",1,0,1,0,0,0
32642,mexican,36266,"['pepper', 'achiote paste', 'ground coriander', 'red wine vinegar', 'salt', 'pork butt roast', 'chili powder', 'purple onion', 'lemon juice', 'paprika', 'orange juice', 'ground cumin']",0,0,0,1,0,0
24245,mexican,39793,"['salsa', 'jelly', 'granny smith apples', 'strawberries', 'kiwi', 'lime juice', 'cayenne pepper', 'brown sugar', 'hot sauce', 'blackberries']",1,1,1,1,0,0
7579,southern_us,33642,"['salt', 'parmesan cheese', 'butter', 'fat free milk', 'polenta']",1,0,0,0,0,0
24577,southern_us,12833,"['ground pepper', 'all-purpose flour', 'coarse salt', 'chicken', 'vegetable oil', 'corn starch', 'buttermilk']",0,0,0,0,0,0
15113,southern_us,1901,"['marshmallows', 'mandarin orange segments', 'sweetened coconut flakes', 'pineapple chunks', 'clementine sections', 'cocktail cherries', 'light sour cream', 'cool whip', 'apples', 'pecan halves', 'red grape']",1,0,1,0,0,0
5248,southern_us,36087,"['seasoning salt', 'cornmeal', 'buttermilk', 'green tomatoes', 'oil']",1,0,0,0,0,0
20236,southern_us,28972,"['ground red pepper', 'olive oil', 'salt', 'paprika', 'sweet potatoes']",1,1,0,1,0,0
19396,chinese,31601,"['tofu', 'ground pork', 'shallots', 'corn starch', 'water', 'hot bean paste', 'rice wine']",0,0,0,1,0,1
34658,chinese,2230,"['chinese rice wine', 'vegetarian oyster sauce', 'soybean sprouts', 'ginkgo nut', 'dried black mushrooms', 'sugar', 'fresh ginger', 'garlic cloves', 'bean threads', 'bean curd skins', 'cake', 'hot water', 'romaine lettuce', 'light soy sauce', 'peanut oil', 'bamboo shoots']",1,0,0,0,0,0
17369,chinese,47781,"['white pepper', 'wonton skins', 'coriander', 'fish sauce', 'water chestnuts', 'oil', 'eggs', 'bay scallops', 'salt', 'pork', 'sesame oil', 'corn flour']",0,0,0,0,0,0
417,chinese,24029,"['back bacon rashers', 'vegetable oil', 'green pepper', 'chillies', 'eggs', 'water', 'garlic', 'long-grain rice', 'red chili peppers', 'lemon', 'green chilies', 'onions', 'dark soy sauce', 'spring onions', 'salt', 'red bell pepper']",0,0,0,1,0,0
34104,chinese,10233,"['water', 'white vinegar', 'corn starch', 'pineapple', 'tomato paste', 'white sugar']",1,1,1,0,0,0
23679,greek,10713,"['sugar', 'butter', 'honey', 'chopped walnuts', 'water', 'vanilla extract', 'phyllo dough', 'cinnamon']",1,0,1,0,0,0
6358,greek,24486,"['sea salt', 'greek yogurt', 'dill', 'garlic', 'olive oil', 'cucumber']",1,0,0,0,0,0
13027,greek,28252,"['canned low sodium chicken broth', 'boneless skinless chicken breasts', 'fresh parsley', 'feta cheese', 'salt', 'ground black pepper', 'lemon juice', 'cherry tomatoes', 'ziti', 'dried oregano']",0,0,0,0,0,0
1478,greek,27242,"['grape tomatoes', 'broccoli florets', 'Wish-Bone Italian Dressing', 'purple onion', 'baby spinach leaves', 'kalamata', 'feta cheese', 'chickpeas']",1,0,0,0,0,0
6359,greek,39287,"['frozen chopped spinach', 'garlic powder', 'feta cheese crumbles', 'phyllo dough', 'salt', 'melted butter', 'processed cheese', 'white vinegar', 'pepper', 'shredded mozzarella cheese']",1,0,0,0,0,0
1564,filipino,45080,"['jalapeno chilies', 'scallions', 'pork', 'apple cider vinegar', 'low sodium soy sauce', 'bay leaves', 'peppercorns', 'water', 'garlic']",0,0,0,1,0,0
25090,filipino,10851,"['pepper', 'hard-boiled egg', 'rice', 'chicken', 'fish sauce', 'fresh ginger', 'garlic', 'calamansi', 'water', 'green onions', 'oil', 'fried garlic', 'bouillon cube', 'salt', 'onions']",0,0,0,0,0,0
38240,filipino,20018,"['garlic powder', 'pork shoulder', 'soy sauce', 'lemon', 'brown sugar', 'ground black pepper', 'ketchup', 'salt']",0,0,0,0,0,0
7640,filipino,36413,"['quail eggs', 'salt', 'sugar', 'frozen meatballs', 'corn starch', 'water', 'oil', 'soy sauce', 'refrigerated biscuits']",0,0,0,0,0,0
22565,filipino,31122,"['cooked ham', 'garlic', 'cooking oil', 'soy sauce', 'eggs', 'white rice']",0,0,0,0,0,0
5418,moroccan,1331,"['tomatoes', 'fresh cilantro', 'cinnamon', 'salt', 'lemon juice', 'celery ribs', 'black pepper', 'zucchini', 'paprika', 'chickpeas', 'onions', 'tumeric', 'olive oil', 'butter', 'cayenne pepper', 'carrots', 'pasta', 'water', 'potatoes', 'vegetable broth', 'lamb', 'saffron']",0,0,0,1,0,0
31428,moroccan,9466,"['sesame seeds', 'spices', 'ground cumin', 'ground ginger', 'ground black pepper', 'ground cardamom', 'fennel seeds', 'ground nutmeg', 'ground allspice', 'ground cloves', 'chicken breasts', 'coriander']",0,0,0,0,0,0
30591,moroccan,19683,"['cinnamon', 'salt', 'pepper', 'ginger', 'cumin', 'cayenne', 'garlic', 'ground lamb', 'pomegranate juice', 'paprika', 'thyme']",0,0,0,1,0,0
35805,moroccan,1609,"['ground cinnamon', 'cilantro leaves', 'carrots', 'red lentils', 'crushed tomatoes', 'ground coriander', 'kosher salt', 'chickpeas', 'ground cumin', 'ground ginger', 'lemon', 'garlic cloves']",1,1,0,0,0,0
2953,moroccan,13264,"['chicken stock', 'pepper', 'extra-virgin olive oil', 'chicken pieces', 'preserved lemon', 'pitted green olives', 'cayenne pepper', 'onions', 'saffron threads', 'tumeric', 'paprika', 'garlic cloves', 'cumin', 'ground ginger', 'cinnamon', 'salt', 'chopped cilantro']",0,0,0,1,0,0
27419,brazilian,32828,"['mango juice', 'crushed ice', 'superfine sugar', 'cachaca', 'lime wedges']",1,1,0,0,1,1
23422,brazilian,6887,"['celery ribs', 'olive oil', 'salt', 'onions', 'tomatoes', 'crushed garlic', 'freshly ground pepper', 'whitefish', 'ground pepper', 'coconut cream', 'coriander', 'brown sugar', 'lemon', 'bay leaf']",0,0,0,1,0,0
9665,brazilian,42842,"['powdered sugar', 'heavy cream', 'corn starch', 'pure vanilla extract', 'egg yolks', 'cocoa powder', 'milk', 'condensed milk', 'biscuits', 'whole milk', 'cognac']",1,0,1,0,0,0
33422,brazilian,9577,"['sea bass', 'reduced sodium fat free chicken broth', 'green onions', 'salt', 'bay leaf', 'olive oil', 'chopped green bell pepper', 'clam juice', 'red bell pepper', 'fresh cilantro', 'ground black pepper', 'ground red pepper', 'garlic cloves', 'large shrimp', 'chopped tomatoes', 'finely chopped onion', 'light coconut milk', 'fresh lime juice']",0,0,0,1,0,0
423,brazilian,623,"['sweetened condensed milk', 'butter', 'cocoa powder']",1,0,1,0,0,0
38958,irish,5103,"['water', 'beef stock', 'lamb shoulder', 'onions', 'ground black pepper', 'bacon', 'all-purpose flour', 'dried thyme', 'bay leaves', 'salt', 'white sugar', 'white wine', 'potatoes', 'garlic', 'carrots']",0,0,0,1,0,1
2303,irish,26262,"['water', 'salt', 'onions', 'celery ribs', 'leeks', 'baby carrots', 'finely chopped fresh parsley', 'boiling onions', 'boiling potatoes', 'black pepper', 'lamb shoulder', 'garlic cloves']",0,0,0,1,0,0
35620,irish,48018,"['dried thyme', 'vegetable oil', 'bacon', 'chopped onion', 'cabbage', 'chuck roast', 'butter', 'salt', 'carrots', 'ground black pepper', 'russet potatoes', 'garlic', 'beer', 'milk', 'bay leaves', 'worcestershire sauce', 'all-purpose flour', 'fresh parsley']",0,0,0,1,0,1
1759,irish,10899,"['smoked bacon', 'butter', 'rutabaga', 'bay leaves', 'pork loin chops', 'potatoes', 'carrots', 'chicken stock', 'cider', 'cabbage']",0,0,0,0,0,1
19653,irish,26248,"['mustard', 'cider', 'brown sugar', 'clove', 'ham']",0,0,0,0,0,1
10362,french,26678,"['cheese', 'sliced mushrooms', 'margarine', 'parmesan cheese', 'arugula']",1,0,0,0,0,0
9774,french,38092,"['large egg yolks', 'marsala wine', 'mint sprigs', 'sugar', 'peaches', 'water']",1,0,1,0,1,1
16198,french,6066,"['large eggs', 'unsalted butter', 'unsweetened cocoa powder', 'all-purpose flour', 'sugar', 'bittersweet chocolate']",1,0,1,0,0,0
19478,french,43432,"['capers', 'worcestershire sauce', 'lemon juice', 'dijon mustard', 'garlic cloves', 'roasted red peppers', 'anchovy paste', 'light mayonnaise', 'dill pickles']",0,0,0,1,0,0
33038,french,22521,"['chives', 'tarragon', 'white asparagus', 'salt', 'eggs', 'pistachio nuts', 'unsalted butter', 'chopped parsley']",1,0,0,0,0,0
11342,spanish,30668,"['hazelnuts', 'cubed bread', 'blanched almonds', 'chili', 'large garlic cloves', 'red peppers', 'kosher salt', 'red wine vinegar', 'country bread', 'olive oil', 'extra-virgin olive oil', 'plum tomatoes']",1,1,0,1,0,1
36155,spanish,38192,"['pasta', 'vine ripened tomatoes', 'onions', 'lobster', 'flat leaf parsley', 'dry white wine', 'bay leaf', 'olive oil', 'garlic cloves', 'saffron']",0,0,0,0,0,1
24211,spanish,49433,"['chorizo', 'unsalted butter', 'paprika', 'black pepper', 'sun-dried tomatoes', 'half & half', 'scallions', 'kosher salt', 'manchego cheese', 'russet potatoes', 'corn starch', 'olive oil', 'large eggs', 'purple onion']",0,0,0,0,0,0
15122,spanish,7387,"['sugar', 'flour', 'salt', 'unsalted butter', 'cinnamon', 'large eggs', 'lemon', 'milk', 'vegetable oil']",0,0,1,0,0,0
23021,spanish,46901,"['tomatoes', 'jalapeno chilies', 'salt', 'lime juice', 'extra-virgin olive oil', 'freshly ground pepper', 'seedless cucumber', 'mint leaves', 'cilantro leaves', 'sweet onion', 'garlic', 'hass avocado']",1,1,0,1,0,0
34451,russian,16644,"['warm water', 'dark rye flour', 'active dry yeast', 'salt', 'dark corn syrup']",1,1,0,0,0,0
11775,russian,21526,"['cold water', 'green onions', 'cucumber', 'potatoes', 'dill', 'vinegar', 'salt', 'sour cream', 'hard-boiled egg', 'ham']",0,0,0,0,0,0
27321,russian,13869,"['powdered sugar', 'fine sea salt', 'large egg whites', 'walnut halves', 'unsweetened cocoa powder', 'vanilla extract']",1,0,1,0,0,0
8762,russian,1671,"['carrots', 'potatoes', 'onions', 'beets', 'cabbage', 'beef tenderloin steaks']",0,0,0,0,0,0
26189,russian,30460,"['eggs', 'white flour', 'rosemary', 'apples', 'sliced mushrooms', 'sugar', 'milk', 'butter', 'dill', 'cabbage', 'brown sugar', 'pepper', 'whole wheat flour', 'salt', 'onions', 'celery salt', 'warm water', 'active dry yeast', 'poppy seeds', 'oil']",1,0,0,0,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
