,cuisine,id,ingredients,Vegeterian (Y/N),Vegan (Y/N),Dessert (Y/N),Spicy (Y/N),Drink (Y/N),Alcohol (Y/N)
23679,greek,10713,"['sugar', 'butter', 'honey', 'walnuts', 'water', 'vanilla extract', 'phyllo dough', 'cinnamon']",1,0,1,0,0,0
6358,greek,24486,"['salt', 'greek yogurt', 'dill', 'garlic', 'olive oil', 'cucumber']",1,0,0,0,0,0
13027,greek,28252,"['chicken broth', 'chicken', 'parsley', 'feta cheese', 'salt', 'black pepper', 'lemon juice', 'tomatoes', 'ziti', 'oregano']",0,0,0,0,0,0
1478,greek,27242,"['tomatoes', 'broccoli', 'Italian Dressing', 'purple onion', 'spinach', 'kalamata', 'feta cheese', 'chickpeas']",1,0,0,0,0,0
6359,greek,39287,"['spinach', 'garlic powder', 'feta cheese', 'phyllo dough', 'salt', 'butter', 'cheese', 'white vinegar', 'pepper', 'mozzarella cheese']",1,0,0,0,0,0
1564,filipino,45080,"['jalapeno chilies', 'scallions', 'pork', 'apple cider vinegar', 'soy sauce', 'bay leaves', 'peppercorns', 'water', 'garlic']",0,0,0,1,0,0
25090,filipino,10851,"['pepper', 'egg', 'rice', 'chicken', 'fish sauce', 'ginger', 'garlic', 'calamansi', 'water', 'green onions', 'oil', 'garlic', 'bouillon cube', 'salt', 'onions']",0,0,0,0,0,0
38240,filipino,20018,"['garlic', 'pork', 'soy sauce', 'lemon', 'brown sugar', 'black pepper', 'ketchup', 'salt']",0,0,0,0,0,0
7640,filipino,36413,"['quail eggs', 'salt', 'sugar', 'frozen meatballs', 'corn starch', 'water', 'oil', 'soy sauce', 'biscuits']",0,0,0,0,0,0
22565,filipino,31122,"['cooked ham', 'garlic', 'cooking oil', 'soy sauce', 'eggs', 'white rice']",0,0,0,0,0,0
5418,moroccan,1331,"['tomatoes', 'cilantro', 'cinnamon', 'salt', 'lemon juice', 'celery', 'black pepper', 'zucchini', 'paprika', 'chickpeas', 'onions', 'tumeric', 'olive oil', 'butter', 'cayenne pepper', 'carrots', 'pasta', 'water', 'potatoes', 'vegetable broth', 'lamb', 'saffron']",0,0,0,1,0,0
31428,moroccan,9466,"['sesame seeds', 'spices', 'cumin', 'ginger', 'black pepper', 'cardamom', 'fennel seeds', 'nutmeg', 'allspice', '', 'chicken', 'coriander']",0,0,0,0,0,0
30591,moroccan,19683,"['cinnamon', 'salt', 'pepper', 'ginger', 'cumin', 'cayenne', 'garlic', 'lamb', 'pomegranate juice', 'paprika', 'thyme']",0,0,0,1,0,0
35805,moroccan,1609,"['cinnamon', 'cilantro', 'carrots', 'red lentils', 'tomatoes', 'coriander', 'salt', 'chickpeas', 'cumin', 'ginger', 'lemon', 'garlic ']",1,1,0,0,0,0
2953,moroccan,13264,"['chicken stock', 'pepper', 'olive oil', 'chicken', 'lemon', 'green olives', 'cayenne pepper', 'onions', 'saffron', 'tumeric', 'paprika', 'garlic ', 'cumin', 'ginger', 'cinnamon', 'salt', 'cilantro']",0,0,0,1,0,0
27419,brazilian,32828,"['mango juice', 'ice', 'sugar', 'cachaca', 'lime']",1,1,0,0,1,1
23422,brazilian,6887,"['celery ribs', 'olive oil', 'salt', 'onions', 'tomatoes', 'garlic', 'black pepper', 'whitefish', 'pepper', 'coconut cream', 'coriander', 'brown sugar', 'lemon', 'bay leaf']",0,0,0,1,0,0
9665,brazilian,42842,"['powdered sugar', 'heavy cream', 'corn starch', 'vanilla extract', 'egg yolks', 'cocoa powder', 'milk', 'condensed milk', 'biscuits', 'whole milk', 'cognac']",1,0,1,0,0,1
33422,brazilian,9577,"['sea bass', 'chicken broth', 'green onions', 'salt', 'bay leaf', 'olive oil', 'green bell pepper', 'clam juice', 'red bell pepper', 'cilantro', 'black pepper', 'red pepper', 'garlic ', 'shrimp', ' tomatoes', 'onion', 'coconut milk', 'lime juice']",0,0,0,1,0,0
423,brazilian,623,"['condensed milk', 'butter', 'cocoa powder']",1,0,1,0,0,0
38958,irish,5103,"['water', 'beef stock', 'lamb', 'onions', 'black pepper', 'bacon', ' flour', 'thyme', 'bay leaves', 'salt', 'white sugar', 'white wine', 'potatoes', 'garlic', 'carrots']",0,0,0,1,0,1
2303,irish,26262,"['water', 'salt', 'onions', 'celery ribs', 'leeks', 'baby carrots', 'parsley', 'onions', 'potatoes', 'black pepper', 'lamb', 'garlic ']",0,0,0,1,0,0
35620,irish,48018,"['thyme', 'vegetable oil', 'bacon', ' onion', 'cabbage', 'chuck roast', 'butter', 'salt', 'carrots', 'black pepper', 'russet potatoes', 'garlic', 'beer', 'milk', 'bay leaves', 'worcestershire sauce', ' flour', 'parsley']",0,0,0,1,0,1
1759,irish,10899,"['smoked bacon', 'butter', 'rutabaga', 'bay leaves', 'pork', 'potatoes', 'carrots', 'chicken stock', 'cider', 'cabbage']",0,0,0,0,0,1
19653,irish,26248,"['mustard', 'cider', 'brown sugar', 'clove', 'ham']",0,0,0,0,0,1
10362,french,26678,"['cheese', ' mushrooms', 'margarine', 'parmesan cheese', 'arugula']",1,0,0,0,0,0
9774,french,38092,"[' egg yolks', 'marsala wine', 'mint sprigs', 'sugar', 'peaches', 'water']",1,0,1,0,1,1
16198,french,6066,"[' eggs', ' butter', 'cocoa powder', ' flour', 'sugar', 'chocolate']",1,0,1,0,0,0
19478,french,43432,"['capers', 'worcestershire sauce', 'lemon juice', 'dijon mustard', 'garlic ', 'roasted red peppers', 'anchovy paste', 'light mayonnaise', 'dill pickles']",0,0,0,1,0,0
33038,french,22521,"['chives', 'tarragon', 'white asparagus', 'salt', 'eggs', 'pistachios', ' butter', ' parsley']",1,0,0,0,0,0
11342,spanish,30668,"['hazelnuts', 'cubed bread', 'almonds', 'chili', ' garlic ', 'red peppers', '  salt', 'red wine vinegar', 'country bread', 'olive oil', ' olive oil', 'plum tomatoes']",1,1,0,1,0,1
36155,spanish,38192,"['pasta', 'tomatoes', 'onions', 'lobster', 'parsley', ' white wine', 'bay leaf', 'olive oil', 'garlic ', 'saffron']",0,0,0,0,0,1
24211,spanish,49433,"['chorizo', ' butter', 'paprika', 'black pepper', 'sun-dried tomatoes', 'half & half', 'scallions', '  salt', 'manchego cheese', 'russet potatoes', 'corn starch', 'olive oil', ' eggs', 'purple onion']",0,0,0,0,0,0
15122,spanish,7387,"['sugar', 'flour', 'salt', ' butter', 'cinnamon', ' eggs', 'lemon', 'milk', 'vegetable oil']",0,0,1,0,0,0
23021,spanish,46901,"['tomatoes', 'jalapeno chilies', 'salt', 'lime juice', ' olive oil', 'freshly pepper', '  cucumber', 'mint', 'cilantro', 'sweet onion', 'garlic', 'avocado']",1,1,0,1,0,0
34451,russian,16644,"[' water', 'flour', 'yeast', 'salt', 'corn syrup']",1,1,0,0,0,0
11775,russian,21526,"['water', 'green onions', 'cucumber', 'potatoes', 'dill', 'vinegar', 'salt', 'sour cream', 'egg', 'ham']",0,0,0,0,0,0
27321,russian,13869,"['powdered sugar', 'salt', ' egg whites', 'walnut  ', 'cocoa powder', 'vanilla extract']",1,0,1,0,0,0
8762,russian,1671,"['carrots', 'potatoes', 'onions', 'beets', 'cabbage', 'beef']",0,0,0,0,0,0
26189,russian,30460,"['eggs', 'flour', 'rosemary', 'apples', ' mushrooms', 'sugar', 'milk', 'butter', 'dill', 'cabbage', 'brown sugar', 'pepper', 'flour', 'salt', 'onions', 'salt', ' water', 'active  yeast', 'poppy seeds', 'oil']",1,0,0,0,0,0
